anio,mes,cve_ent,entidad,cve_mun,municipio,organismo,modalidad,destino,tipo,sexo,edad_rango,ingresos_rango,vivienda_valor,acciones,monto
2026,1,01,Aguascalientes,,No distribuido,4,3,1,1,,,,,0.0,122400.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,1,2,2,1,1,3,4,1.0,1122000.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,1,2,2,1,2,4,4,1.0,1309428.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,1,2,2,2,2,1,4,1.0,1002567.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,1,2,2,2,2,4,5,1.0,1975821.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,1,2,1,1,2,1,3,1.0,750000.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,1,2,1,1,2,1,5,2.0,6925000.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,1,2,1,1,2,1,6,1.0,3000100.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,1,2,1,1,2,2,4,1.0,1586700.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,1,2,1,1,2,3,4,2.0,2308900.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,1,2,1,1,2,3,5,2.0,4808549.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,1,2,1,1,2,4,4,2.0,1089700.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,1,2,1,1,2,4,5,4.0,10356597.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,1,2,1,1,2,5,4,1.0,2016112.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,1,2,1,1,2,5,5,1.0,2925000.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,1,2,1,1,2,6,4,1.0,2282850.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,1,2,1,1,2,6,5,4.0,11445972.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,1,2,1,1,3,2,4,3.0,4714450.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,1,2,1,2,1,1,4,2.0,1681421.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,1,2,1,2,1,4,4,1.0,1710000.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,1,2,1,2,2,2,4,1.0,1500000.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,1,2,1,2,2,2,5,1.0,2430000.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,1,2,1,2,2,3,3,1.0,520100.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,1,2,1,2,2,3,4,3.0,5669892.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,1,2,1,2,2,4,5,2.0,4510779.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,1,2,1,2,2,5,5,1.0,2540700.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,1,2,1,2,2,6,5,2.0,4820000.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,1,2,1,2,3,1,5,1.0,4410000.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,1,2,1,2,3,5,4,1.0,600000.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,1,5,1,1,1,4,5,1.0,2100000.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,1,5,1,1,1,6,4,1.0,1891921.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,1,5,1,1,2,1,5,1.0,1700000.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,1,5,1,1,2,3,5,1.0,1540000.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,1,5,1,1,2,4,6,1.0,4644800.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,1,5,1,1,2,6,5,1.0,2400000.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,1,5,1,1,3,1,5,1.0,1500000.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,1,5,1,1,3,4,6,1.0,1500000.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,2,3,2,1,1,3,4,1.0,680000.0
